Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
JPM260501C00360000,0.04,0.0,2.13,2026-04-17 13:46:54.000000,2026-05-01,360.0,call,2.0,0.0,0.9416,311.61,0.045,0.045,0.045
JPM260501P00360000,0.0,47.1,49.6,2026-04-28 13:26:21.015656,2026-05-01,360.0,put,0.0,0.0,0.7083385597098655,311.61,0.045,0.045,0.045
JPM260501C00365000,0.01,0.0,2.1,2026-04-27 15:03:56.000000,2026-05-01,365.0,call,0.0,5.0,1.0055,311.61,0.045,0.045,0.045
JPM260501P00365000,0.0,52.2,54.65,2026-04-28 13:26:21.015739,2026-05-01,365.0,put,0.0,0.0,0.5702,311.61,0.045,0.045,0.045
JPM260501C00370000,0.0,0.0,0.01,2026-04-28 13:26:21.015769,2026-05-01,370.0,call,0.0,0.0,0.5293,311.61,0.045,0.045,0.045
JPM260501P00370000,0.0,57.1,59.65,2026-04-28 13:26:21.019399,2026-05-01,370.0,put,0.0,0.0,0.8524011217670866,311.61,0.045,0.045,0.045
JPM260501C00375000,0.0,0.0,0.05,2026-04-28 13:26:21.019451,2026-05-01,375.0,call,0.0,0.0,0.6551,311.61,0.045,0.045,0.045
JPM260501C00380000,0.1,0.0,0.05,2026-04-13 15:41:28.000000,2026-05-01,380.0,call,2.0,0.0,0.6968,311.61,0.045,0.045,0.045
JPM260501C00385000,0.0,0.0,0.25,2026-04-28 13:26:21.020536,2026-05-01,385.0,call,0.0,0.0,0.7376,311.61,0.045,0.045,0.045
JPM260501C00390000,0.0,0.0,0.05,2026-04-28 13:26:21.021071,2026-05-01,390.0,call,0.0,0.0,0.7777,311.61,0.045,0.045,0.045
JPM260501C00395000,0.0,0.0,0.05,2026-04-28 13:26:21.021599,2026-05-01,395.0,call,0.0,0.0,0.8171,311.61,0.045,0.045,0.045
JPM260501P00395000,0.0,81.7,84.85,2026-04-28 13:26:21.024934,2026-05-01,395.0,put,0.0,0.0,0.9625966155056082,311.61,0.045,0.045,0.045
JPM260508C00165000,0.0,145.9,148.2,2026-04-28 13:26:21.024974,2026-05-08,165.0,call,0.0,0.0,1.6227,311.61,0.045,0.045,0.045
JPM260508P00165000,0.01,0.0,0.64,2026-04-27 15:43:15.000000,2026-05-08,165.0,put,21.0,6.0,1.6728,311.61,0.045,0.045,0.045
JPM260508C00170000,0.0,140.65,143.75,2026-04-28 13:26:21.025033,2026-05-08,170.0,call,0.0,0.0,1.6516,311.61,0.045,0.045,0.045
JPM260508P00170000,0.01,0.0,0.64,2026-04-27 15:44:10.000000,2026-05-08,170.0,put,23.0,8.0,1.6015,311.61,0.045,0.045,0.045
JPM260508C00175000,0.0,136.25,138.25,2026-04-28 13:26:21.025074,2026-05-08,175.0,call,0.0,0.0,1.6043,311.61,0.045,0.045,0.045
JPM260508P00175000,0.25,0.0,2.13,2026-04-13 10:51:47.000000,2026-05-08,175.0,put,10.0,0.0,1.8539,311.61,0.045,0.045,0.045
JPM260508C00180000,0.0,130.95,133.6,2026-04-28 13:26:21.025111,2026-05-08,180.0,call,0.0,0.0,1.5433,311.61,0.045,0.045,0.045
JPM260508P00180000,0.0,0.0,2.13,2026-04-28 13:26:21.025128,2026-05-08,180.0,put,0.0,0.0,1.7748,311.61,0.045,0.045,0.045
JPM260508C00185000,0.0,125.45,129.05,2026-04-28 13:26:21.025145,2026-05-08,185.0,call,0.0,0.0,1.4585,311.61,0.045,0.045,0.045
JPM260508P00185000,0.0,0.0,2.13,2026-04-28 13:26:21.025161,2026-05-08,185.0,put,0.0,0.0,1.6977,311.61,0.045,0.045,0.045
JPM260508C00190000,0.0,120.5,123.6,2026-04-28 13:26:21.025179,2026-05-08,190.0,call,0.0,0.0,1.2673,311.61,0.045,0.045,0.045
JPM260508P00190000,0.0,0.0,2.13,2026-04-28 13:26:21.025196,2026-05-08,190.0,put,0.0,0.0,1.6225,311.61,0.045,0.045,0.045
JPM260508C00195000,0.0,115.45,118.9,2026-04-28 13:26:21.025213,2026-05-08,195.0,call,0.0,0.0,1.2816,311.61,0.045,0.045,0.045
JPM260508P00195000,0.0,0.0,2.13,2026-04-28 13:26:21.025230,2026-05-08,195.0,put,0.0,0.0,1.549,311.61,0.045,0.045,0.045
JPM260508C00200000,0.0,110.6,113.9,2026-04-28 13:26:21.025247,2026-05-08,200.0,call,0.0,0.0,1.2538,311.61,0.045,0.045,0.045
JPM260508P00200000,0.22,0.0,2.13,2026-04-02 10:54:11.000000,2026-05-08,200.0,put,1.0,0.0,1.4772,311.61,0.045,0.045,0.045
JPM260508C00205000,0.0,105.5,108.9,2026-04-28 13:26:21.025283,2026-05-08,205.0,call,0.0,0.0,1.1651,311.61,0.045,0.045,0.045
JPM260508P00205000,0.0,0.0,2.13,2026-04-28 13:26:21.025301,2026-05-08,205.0,put,0.0,0.0,1.4069,311.61,0.045,0.045,0.045
JPM260508C00210000,0.0,100.55,103.95,2026-04-28 13:26:21.025318,2026-05-08,210.0,call,0.0,0.0,1.1256,311.61,0.045,0.045,0.045
JPM260508P00210000,0.0,0.0,2.13,2026-04-28 13:26:21.025335,2026-05-08,210.0,put,0.0,0.0,1.3381,311.61,0.045,0.045,0.045
JPM260508C00215000,0.0,96.0,98.6,2026-04-28 13:26:21.025351,2026-05-08,215.0,call,0.0,0.0,1.0843,311.61,0.045,0.045,0.045
JPM260508P00215000,0.0,0.0,2.13,2026-04-28 13:26:21.025368,2026-05-08,215.0,put,0.0,0.0,1.2706,311.61,0.045,0.045,0.045
JPM260508C00220000,0.0,91.0,93.45,2026-04-28 13:26:21.025384,2026-05-08,220.0,call,0.0,0.0,0.9924,311.61,0.045,0.045,0.045
JPM260508P00220000,0.02,0.0,0.48,2026-04-27 15:42:32.000000,2026-05-08,220.0,put,22.0,12.0,0.9385,311.61,0.045,0.045,0.045
JPM260508C00225000,0.0,86.35,88.4,2026-04-28 13:26:21.025417,2026-05-08,225.0,call,0.0,0.0,0.9894,311.61,0.045,0.045,0.045
